ID;Nome;Ingredientes
5629;Miniature Reese'S Cup Cookies;["Roll","Miniature Reese's"]
5630;Pecan Pie;["ovos","xarope de karo branco","açúcar","manteiga","leite  pecans"]
5631;Spaghetti Chicken;["galinha","sal","oil óleo de salada","cebola","alho do cravo","tomates","queijo parmesão","molho de tomate","salsa","salsa","Sal","Basil","Pepper"]
5632;Salisbury Steaks With Onions;["Mean Ground Beef","ovo","migalhas de pão","sal","molho de worcestershire","manteiga","cebola","farinha","salsa"]
5633;Pumpkin Bread;["noz-moscado","pecans","canela","farinha","açúcar","soda","gengibre","ovos","óleo vegetal","abóbora"]
5634;Broccoli Casserole;["biscoitos","brócolis","queijo velveeta","manteiga"]
5635;Ruby Glazed Pork Roast(Serves 6 To 8);["lombo de porco","suco de limão","molho de cranberry","açúcar castanho claro","suco de laranja","sal"]
5636;One Pot Lasagna;["macarrão de ovo","água","carne moída","queijo mussarela"]
5637;Tortilla Soup;["regular","todo o milho do kernel","água","taco","conchas de tostada","queijo cheddar"]
5638;Japanese Fruit Pie;["açúcar","ovos","suco de limão","manteiga","passas","pecans","coconut"]
5639;Hard Candy;["açúcar","sabor de limão","sabor laranja","sabor anis","sabor de hortel�","sabor de lobo","sabor de inverno","sabor de cravo","sabor","amendoim","manteiga"]
5640;Venison Meat Loaf;["Venison de terra","carne de porco � terra","cebola","cenoura ralada","aipo","pimenta verde","alho","sal","pimenta","pão","migalhas","molho de tomate","ovos","creme leve"]
5641;Triple Good Veggies;["Couve-flor congelado","brócolis","Bruxelas couves","creme de sopa de cogumelos"]
5642;Almond Granola Bars;["manteiga","açúcar castanho claro","mel","aveia","amêndoas"]
5643;Refrigerator Rolls;["encurtamento","sal","ovos","farinha","água","açúcar","Leite","levedura"]
5644;Chicken Casserole;["Mistura de enchimento de cornbread","mistura experiente de erva","margarina","peitos de frango","creme de sopa de galinha","caldo de galinha"]
5645;Lo-Cal Tuna And Fruit Sandwich;["água","Lo-Cal Spicy Doce Doce Ressing","Aipo","Queijo","abacaxi","Bolos de sandu�che","paprika"]
5646;Broccoli Soup;["cebola","caldo de frango","brócolis","macarrão","leite","queijo americano"]
5647;Bean Soup;["Seco feijão vermelho vermelho","cebola","cenoura","caldo de carne","creme pesado","ovo","sal"]
5648;Spaghetti Salad;["Salada italiana molho","salada suprema","espaguete","tomates","pepino","pimenta verde","cebola"]
5649;Baked Beans;["Feij�es","abacaxi","bacon bits","açúcar mascavo","ketchup"]
5650;Vanilla Drop Cookies;["Farinha","Faring em p�","sal","encurtamento","açúcar","ovos","buttermilk","baunilha"]
5651;Excellent Nonfat Tortilla Chips;["tortilhas de milho"]
5652;Deer Chili Pie;["veado","Tempero de pimenta suave","suco de tomate","pimentão","ro-tel tomates","cebola","Queijo","Chips de milho"]
5653;Pickled Okra;["alho","pimenta","dill","vinagre","água","sal","okra pods"]
5654;Christmas Sand Tarts;["encurtamento","açúcar","ovos","farinha","sal","canela","noz-mo�do noz"]
5655;Darlene'S Zucchini Relish;["abobrinha","cebolas","pimentas vermelhas","pimentas verdes","sal","vinagre","noz-moscada","cornstarca","mostarda seca","pimenta","pimenta","açúcar","Tomates","tomates verdes","cebolas","pepino","repolho","aipo","pimentas verdes","pimenta vermelha","sal","açúcar mascavo","Aipo","Cravo � terra","vinagre"]
5656;Asparagus Roll-Ups;["pão branco","queijo creme","espargos"]
5657;Special Chicken Salad;["maionese","Ressing franc�s","sal","pimenta","frango","Aipo","Laranja se��es","Nozes","frio"]
5658;Hobo Dinner;["Hamburger","batata (es","sal"]
5659;Easy Corn Pudding;["estilo creme","leite","ovos","manteiga","pimenta"]
5660;Fruit Compote;["Luz xarope de milho","suco de laranja","Muito fino  suco de limão"]
5661;Pork Sausage;["carne de porco","sal","pimenta preta","sage"]
5662;Barbecue Meat Balls;["carne moída","salsicha de porco","leite","aveia antiquada","pimenta","sal","pimentão","ketchup","alho p�","cebola","cebola","aromatizante l�quido"]
5663;Broccoli Cornbread;["Mistura de cornbread","Margarina","cebola","queijo cottage","brócolis","ovos"]
5664;Chicken Pot Pie;["manteiga","cogumelos","cebola","cornstarca","caldo de frango","sal","pimenta","frango","vegetais","massa de biscoito"]
5665;Fruit Smoothies;["Banana","Morangos","iogurte do recipiente","suco de laranja","lotes de gelo"]
5666;Chocolate Chip Cake;["Bolo amarelo","Pudim de chocolate","açúcar","óleo","ovos","creme azedo","chips de chocolate"]
5667;Perfect Chicken;["peitos de frango","creme de sopa de aipo","água","creme de sopa de cogumelos","sopa de cebola"]
5668;Lemon Lush;["Margarina","Farinha","pecans","Cream Cheese","açúcar","chicote legal","Pudim de limão instant�neo","suco de limão","chicote legal para o topping"]
5669;Scalloped Potatoes;["Manteiga","Farinha","Leite","batatas","cebolas","pimenta  queijo"]
5670;Sausage Casserole;["salsicha de porco","pimento","pimentas verdes","creme de sopa de galinha","leite","macarrão de ovo","queijo ralado"]
5671;Hearty Vegetable Soup;["aipo","cevada","lentilhas","ervilhas","cebolas","molho de tomate","cenouras",",água"]
5672;Orange Breakfast Punch;["suco de laranja","água","leite","açúcar","baunilha"]
5673;Banana Pudding;["gema de ovo","açúcar","millimbar","leite","baunilha"]
5674;Caramel Corn;["milho","açúcar mascavo","xarope branco","oleo","soda","creme de t�rtaro"]
5675;Rich Cheesecake;["Cream Cheese","açúcar","Salt","baunilha","creme azedo","açúcar","baunilha","migalhas de cracker de Graham","açúcar"]
5676;Crispy Chocolate Ring;["Margarina","açúcar castanho claro","manteiga de amendoim","sabor de chocolate","cereal de arroz crocante"]
5677;Easy Vanilla Ice Cream;["açúcar","ovos","extrato de baunilha","leite"]
5678;Baked Stuffed Tomatoes;["Tomates","sal","cogumelos","leite  Rosemary","migalhas de pão"]
5679;Marinated Tofu Salad;["óleo vegetal","óleo de gergelim chin�s","suco de limão","shoyu","vinagre de arroz","cabe�a repolho chin�s","cenoura","cisne  punhado"]
5680;Skinny Soup(Weight Watchers);["cabe�a repolho","Aipo","suco de tomate","ado�ante","limão","cebola","cubos de bouillon de carne instant�nea","feijão verde","brotos"]
5681;No-Bake Pumpkin Pie;["crosta","gelatina sem sabor","canela de terra","noz-mo�do noz-moscada","sal","leite","ovos","abóbora"]
5682;Oriental Veggie Dip;["Mayo","molho de soja","p�","cebolinha","leite","vinagre"]
5683;Chicken On A Stick(Serving Size:  4);["peitos de frango","bacon","vinho","molho de soja","molho de worcestershire"]
5684;Basic Mexican Bean Recipe(Makes 6 To 8 Servings);["feijão vermelho","água","Sal","Larde muito quente"]
5685;Tomato Rice Soup(Yields 1 Quart);["Tomates","arroz  açúcar","água"]
5686;Pocatilla Potatoes;["batatas","Queijo cheddar","cebola","vermelho piment","margarina","pão","sal de cebola","sal de alho","salsa flocos","paprika","sal"]
5687;Chicken Casserole;["frango","pimenta verde","sopa de cogumelos","cogumelos","azeitonas","pimenta","queijo velveeta","amêndoas","espinafre","margaroni"]
5688;Chili-Chicken;["macarrão","cebola","Margarina","sopa de cogumelos","piment","pimentão","frango","sal","cheddar queijo"]
5689;German Upside-Down Chocolate Cake;["bolo de chocolate","coco","nozes","oleo","queijo creme","açúcar"]
5690;Cherry Delight;["Graham cracker migalhas","manteiga","Cream Cheese","Leite","açúcar","pecans","Cherry Torie enchimento"]
5691;Fudge Sauce (Hot Or Cold)(1 Pint);["manteiga","chocolate amargo","sal","açúcar","leite","baunilha"]
5692;Light Confetti Appetizer;["Crescent Dinner Rolls","Lite Cream Cheese","Legumes","Queijo Cheddar"]
5693;Party Nachos;["Chips de tortilla","azeitonas pretas","feij�es","hamb�rguer","cebola","cebola verde","tomates","queijo cheddar","creme azedo"]
5694;Fruit Cocktail Cake;["Farinha","açúcar","sal","bicarbonato de sódio","fermento","ovo","coquetel de frutas","açúcar mascavo","suco de cocktail"]
5695;Old Witch Magic Nut Cake;["Ovos","óleo vegetal","água","farinha","açúcar","bicarbonato de sódio","sal","noz-moscada","canela","Rais","nozes"]
5696;Shrimp Salad;["Camar�o","Tomato","Macaroni","or�gano","maionese","churrasqueira","sal"]
5697;Italian Cookies;["Farinha","açúcar","fermento","sal","óleo","leite","ovos","anise"]
5698;Cucumber Salad;["água","vinagre branco","açúcar","pepinos","cebola"]
5699;Hush Puppies;["fornema","Farinha","cebola","ovo","açúcar","leite"]
5700;Cheese Soup;["Velveeta queijo","Carnation Leite","Cogumelos","veg-e"]
5701;Stir-Fried Rice;["arroz","ovos","óleo de cozimento","sal","molho de soja","cenouras","cebola","frango"]
5702;Pecan Pies;["ovos","açúcar mascavo","açúcar branco","sal","xarope de bordo","manteiga","baunilha","pecans"]
5703;Hearty Meat Sauce;["carne moída","cebola","alho","tomates","açúcar","sal","or�gano","pasta de tomate","pimenta rachada"]
5704;Pepper Sauce;["óleo","cebola","molho de tomate","água","sal","pimenta","molho de worcestershire","açúcar mascavo","suco de limão"]
5705;Japanese Fruit Pie;["açúcar branco","ovos","Margarina","coco flocado","pecans","passas","vinagre"]
5706;Red Beans And Rice;["carne moída","pimentão","cebola","alho","feij�es vermelhos","Creole tempero","fumo l�quido"]
5707;Zucchini And Tomatoes;["Zucchini italiano","tomates","cebola","bacon","temporada","açúcar"]
5708;Never Fail Pie Crusts;["Farinha","sal","encurtamento","ovo","vinagre"]
5709;Chocolate Oatmeal Cookies;["açúcar","manteiga","leite","cacau","manteiga de amendoim","baunilha","aveia"]
5710;Broccoli And Cheddar Soup;["brócolis","manteiga","All-Propósito","Frango Stock","Leite","creme de choco","Queijo Cheddar","Sal"]
5711;Baked Chicken Viva;["peitos de frango","tortillas de milho","creme de sopa de aipo","creme de sopa de galinha","creme de sopa de cogumelos","verde Chile Salsa","verde Chiles","Cheddar"]
5712;Popcorn Balls(Berta'S Recipe);["xarope branco","açúcar mascavo","manteiga","creme de t�rtaro","bicarbonato de sódio"]
5713;Daddy'S G I Pancakes;["Farinha","fermento em pó","sal","açúcar","ovo","leite","óleo"]
5714;No Sugar Syrup;["açúcar","água fervente","água fria","millimbar","fruta fresca","bananas","baunilha","iogurte"]
5715;Microwave Rice;["água","arroz de gr�os longos","sal","manteiga"]
5716;Orange Balls;["Bolachas de baunilha","suco de laranja","margarina","açúcar","coconut","nozes"]
5717;Aunt Lillian'S Kraut Salad;["pimentão","Aipo","cebola","pimentos","açúcar","vinagre"]
5718;Sweet And Sour Red Cabbage;["vinagre","açúcar","água","repolho vermelho","manteiga","pimenta","sal"]
5719;Marshmallow Treats;["Margarina","Rice Krispies","regular"]
5720;German Chocolate Cake;["chocolate","água fervente","manteiga","açúcar","gema","baunilha","farinha","sal","buttermilk","claras"]
5721;Honey Chicken;["frango","mostarda","manteiga","suco de limão","mel"]
5722;Pasta And Escarole;["alho","azeite","molho de tomate","água","lavado","canellini feijão"]
5723;Lemon Cobbler;["Farinha","Encaixe","fermento","sal","ovos","bicarbonato de sódio","leite","açúcar","enchimento de torta de limão"]
5724;Breakfast Casserole;["pão","salsicha","queijo ralado","ovos","leite","sal","mostarda seca"]
5725;Brownies Cockaigne;["manteiga","ovos","sal","açúcar","baunilha","farinha","pecans"]
5726;Krum Kaga(Norwegian Pastry);["açúcar","chicotando creme","sal","farinha","manteiga","ovos","baunilha"]
5727;Green Rice;["brócolis","arroz","creme de sopa de cogumelos","cebola","oleo"]
5728;Strawberry Pudding;["Morangos","açúcar","jello de morango","Pudim instant�neo de baunilha","leite frio","creme azedo","wafers de baunilha"]
5729;Chicken Pate;["gelatina","vinho branco","peito de frango","cogumelos","chalotas","salsa","molho de worcestershire","ovo","pimenta preta frescas"]
5730;Chex Party Mix;["manteiga","molho de worcestershire","sal","arroz","pretzels","amendoim"]
5731;Nanny'S Tea Cake;["açúcar","encurtamento","ovos","extrato de baunilha","extrato de limão","farinha"]
5732;No Roll Sugar Cookie;["manteiga","óleo vegetal","açúcar","açúcar branco","ovos","farinha regular","faring p�","creme de t�rtaro","sal"]
5733;Picnic Coconut Pie;["açúcar","Farinha","ovos","água fria","baunilha","manteiga","coconut"]
5734;Veal Stew;["Farinha","Salt","Ombro de vitela","margarina","chalotas","vinho branco","cogumelos","cenouras","salsa","água","folha de galinha"]
5735;24 Hour Salad;["Head Lettuce","Stalks Aipo","Cebolas","ervilhas verdes","mayonnaise","açúcar","queijo parmesão","ovos"]
5736;Microwave Chocolate Pie;["Torta Shell","açúcar","Ovos","Leite","Cornstarca","baunilha","manteiga"]
5737;Peas And Cheese Salad;["salada","sal","mostarda","açúcar","ervilhas verdes congeladas","cheddar","talo de aipo","pickles doces","cebola","ovos"]
5738;Broccoli Puff;["brócolis congelado","creme de sopa de cogumelos","Queijo Cheddar","Leite","Mayonnaise","ovo","migalhas de pão","manteiga"]
5739;Banana Bread;["oleo","açúcar","ovos","bananas","farinha","baunilha","soda","nozes"]
5740;Orange Pineapple Cake;["óleo","ovos","Mandarin laranjas","Pudim de baunilha","abacaxi"]
5741;New Orleans Style Red Beans And Rice;["carne moída","Nova Orleans","cebola","arroz","pimentão","molho tabasco","sal","pimenta","molho de tomate"]
5742;Light And Fruity Pie;["gelatina","água fervente","fruta","crosta de cracker de Graham"]
5743;Old Fashioned Sugar Cookies;["manteiga - sem substituto","açúcar","açúcar","ovos","baunilha","bicarbonato de sódio","creme de t�rtaro","salt","farinha"]
5744;Yummy Potatoes;["creme condensado","queijo cheddar","creme azedo","batatas","sal","fino"]
5745;Happiness;["Amizade","Pensamento"]
5746;Corn Casserole;["Margarina","muffin de milho","creme azedo","milho","milho de kernel inteiro"]
5747;Jelly Jump-Ups;["Queijo creme","Margarina","farinha","sal","açúcar de confeiteiro"]
5748;Fruit Cake Cookies;["Oleo","açúcar","ovos","Faring em p�","Porcas","Leite","Passas brancas","Cerejas cristalizadas","abacaxi cristalizado","coco","aveia","farinha"]
5749;Kraut Salad;["chucrute","pimenta verde","cebola","aipo","sal","açúcar","vinagre","oil óleo de salada"]
5750;Green Rice;["arroz","Leite","óleo de salada","salsa verde","verde pimentão","alho","Queijo Cheddar","queijo afiado"]
5751;Oatmeal Patties;["sopa de cogumelo","cebola","ovos","molho de soja","sage"]
5752;Banana Nut Bread;["Farinha","açúcar","Bicarbonato de sódio","encurtamento","ovos","leite","pur� de bananas maduras","nozes","sal"]
5753;Fresh Apple Cake Dessert;["Apples descascados","baunilha","óleo","ovos","porcas","farinha","açúcar","refrigerante","açúcar","açúcar mascavo","baunilha"]
5754;Blueberry Muffins;["ovos","açúcar","óleo vegetal","baunilha","farinha","creme azedo","blueberries"]
5755;Skillet Macaroni And Beef;["carne moída","cotovelo macarrão","cebola","pimenta verde","molho de tomate","sal","pimentão","molho de worcestershire"]
5756;Spinach And Spaghetti Casserole;["espinafre","ovos","creme azedo","Leite","queijo parmesão","cebola","sal","pimenta","queijo","spaghetti","parmesão"]
5757;New Orleans Red Beans And Rice(Servings: 6.  Preparation Time: 4 Hours.);["Vermelho feijão","SAL BORDA","Cebola","alho","Aipo","presunto","molho Tabasco","sal","folha de louro","Thyme"]
5758;Jello Pudding Dirt Cups;["Leite frio","biscoitos de sandu�che de chocolate"]
5759;King Oscar Pancakes With Rum Sauce;["Farinha","açúcar","gema","fermento em pó","leite","margarina","claras","baunilha","sal"]
5760;Chocolate Chip Cheese Ball;["Cream Cheese","açúcar","Chocolate Chips","manteiga","açúcar mascavo","pecans"]
5761;Dottie'S Orange Cake;["laranja","açúcar mascavo","Rind de laranja","carnes de noz","fermento em pó","açúcar","Bicarbonato de sódio","leite"]
5762;French Onion Soup In Crock-Pot;["Bouillon de carne","cebolas","manteiga","sal","açúcar","farinha","queijo parmesão"]
5763;Pork Barbecue Sauce;["vinagre","garrafas","molho de churrasco","pimenta moída vermelha","pimenta","pimenta preta","sal"]
5764;English Muffins;["Queijo Cheddar","azeitonas","Miracle","cebola","curry p�","metades"]
5765;Zucchini Bread;["açúcar","óleo","ovos","sal","bicarbonato de sódio","baunilha","bicarbonato de sódio","canela","flour  zucchini"]
5766;Potato Chip Cookies;["Margarina","Sugar","batatas fritas","porcas","farinha","baunilha"]
5767;Gingersnaps;["encurtamento","açúcar","ovo","sorgo melaço","farinha","refrigerante","ginger","canela","cravo","sal","açúcar"]
5768;Mexican Corn;["milho","maionese","manteiga","Queijo","pimentão vermelho","sal"]
5769;Pretty As A Picture Veggie Squares;["Cream Cheese","Mayonnaise","Canisters Crescent Rolls","Cenouras","Florets de brócolis","Red Cebola","Crookneck amarelo"]
5770;Sugar-Free Pineapple Cake And Icing;["p� de leite","ovo","suco de abacaxi","canela","porcas","manteiga","abacaxi","farinha","datas","datas"]
5771;Cheese Mushroom Frittata;["creme de sopa de cogumelo","Mozzarella queijo","cogumelos","cebola","cunhas de tomate","ovos","manjas","margarina","fresco manjeric�o"]
5772;Cheesy Scalloped Potatoes;["Frozen Hash Browns","Velveeta Queijo","Queijo Cheddar","Oleo","Leite","cebola"]
5773;Porcupine Meatballs;["Hamburger","arroz","sal","cebola","pimenta","sopa de tomate","água"]
5774;Colorful Bean Salad;["Olive ou","vinagre de cidra","alho p�","cominho de luz","sal","pimenta","feijão rim","Mestrado","feijão preto","cebola vermelha"]
5775;Refrigerator Pickles;["pepinos","sal","cebola","açúcar","turmeric","alum","vinagre","aipo"]
5776;7 Layer Salad;["tomate","ervilhas congeladas","mayonnaise","açúcar","bacon","queijo cheddar"]
5777;Zucchini Relish;["Zucchini de solo","sal","vinagre","açúcar","mostarda","noz-moscada","cornstarca","pimentão"]
5778;Escalloped Pineapple;["pão branco quebrado","açúcar branco","ovos","margarina","leite","abacaxi"]
5779;Banana Pudding;["Leite","Farinha","açúcar","gema","baunilha","wafers de baunilha","bananas"]
5780;Herb Dressing(Great On Vegetables);["maionese","chicotando creme","cebola verde","salsa fresca","anchova","t","suco de limão"]
5781;Sausage Balls;["salsicha","Queijo Cheddar","Bisquick","Leite"]
5782;Frozen Parfait;["Morangos congelados","açúcar de confeiteiro","zest de limão","creme pesado"]
5783;Carrot Casserole;["manteiga","cebola","creme condensado","queijo cheddar","cenouras","sal"]
5784;Angel Food Cake Topping;["ovos","açúcar","suco de laranja","casca laranja"]
5785;Garbage Cake;["amarelo mix de bolo","Pudim instant�neo","ovos","óleo","água","açúcar mascavado","porcas","canela"]
5786;Nacho Popcorn;["milho","margarina","mistura de tempero taco","tortilla chips"]
5787;Lynn'S Cheddar Cheese Ball;["Cream Cheese","Queijo Cheddar","pimentão","cebola","pimentão","pimenta preta","pimenta vermelha","sal","molho de worcestershire"]
5788;Night Before Casserole;["Creamettes","Frango","creme de sopa de galinha","pimenta verde","queijo americano","ovos","leite"]
5789;Corn Fritters;["kernels de milho","migalhas de pão brancas frescas","fermento em pó","creme","ovos","sal","manteiga"]
5790;Fresh Apple Cake;["açúcar","óleo","margarina","ovos","farinha","noz-moscada","canela","soda","sal","maçãs","passas"]
5791;Ambrosia Mold;["Abacaxi","água fervente","Mandarin laranjas","damasco gelatina","marshmallows","coconut"]
5792;Chinese Salad;["Repolho chin�s","Cebola verde","manteiga","macarrão ramen","sementes de girassol","amêndoas","sesame semente"]
5793;Cornbread;["Farinha","Cimmeal","açúcar","salking em p�","Bicarbonato de sódio","encurtamento","buttermilk","ovos"]
5794;Cracker Pralines;["Bolachas de refrigerante","manteiga","açúcar mascavo","Chocolate Chips","Nuts"]
5795;Shrimp Dip;["Queijo creme","camar�o","cebola","ketchup","r�bano"]
5796;Chicken Dijon;["peitos de frango","manteiga","farinha","caldo de frango","mostarda"]
5797;Chocolate Chex Mix;["Chips Chips","Manteiga de amendoim","cereal","açúcar"]
5798;Fried Rice;["Long Grain Rice","Porco","cebola","pimentas verdes","Cenouras","pimenta preta","hastes aipo","brotos de feijão","molho de soja"]
5799;Grilled Lemon Pepper Shrimp;["camar�o","limão","bacon","suco de limão"]
5800;Pineapple Carrot Bread;["All-Propósito","açúcar","Bicarbonato de sódio","canela de solo","sal","cenouras","óleo vegetal","abacaxi","pecans","extrato de baunilha","açúcar de confeiteiro","leite"]
5801;Raw Cauliflower Salad;["Couve-flor","pimentão","azeitonas","rabanetes","tomates","queijo americano","marinade"]
5802;Minute Magic Walnut Bread;["açúcar","ovo","Leite","nozes","mistura de biscoito"]
5803;Chocolate Pound Cake;["Farinha","creme de t�rtaro","bicarbonato de sódio","sal","açúcar","margarina","vanilla","ovos","yolk de ovo","açúcar","Leite","nozes"]
5804;Cheese Straws;["manteiga","queijo afiado","farinha","pimenta caiena","sal"]
5805;Fishy Onion Dip;["óleo","yolk de ovo","casca de limão","pur� de alcaparras","suco de limão","anchova","cebola","atum","sprigs"]
5806;Meat Sauce For Spaghetti;["cebola","bacon","carne moída","alho p�","salsa","sal","pimenta","suco de tomate","cenoura"]
5807;Lasagna;["doce salsicha italiana","bovino � terra","cebola","Mozzarella ralado","Queijo","Pasta de tomate","oregano","Basil","Tomilho","azeite","azeite","macarrão para lasanha"]
5808;Chicken Divan;["brócolis congelado","peitos de frango","Leite","queijo ralado","creme de sopa de galinha","mayonnaise","alho"]
5809;Quick Chocolate Mousse;["Leite condensado","pudim de chocolate","água fria","chicoteado creme de chicoteamento"]
5810;Brunch Pie;["brócolis","bisquick mix de cozimento","ovos","tomate","creme azedo","queijo cottage","manteiga","queijo parmesão"]
5811;Chicken Pie (Or Turkey);["Pastelaria","cebolas verdes","veggies congelados","peitos de frango","ovos","leite","creme pesado","sal","queijo ralado"]
5812;German Cream Cheese Brownies;["Chocolate","manteiga","ovos","baunilha","sal","cream cheese","açúcar","farinha","faring em p�","extrato de amêndoa"]
5813;Grandmother Esther'S Matzoh Balls;["refei��o","ovos","óleo","sal","pimenta","noz-moscado"]
5814;Sweet Potato Salad;["batatas","cebola","pimenta verde","sal","mayonnaise","molho quente"]
5815;Herb And Garlic Chicken;["peitos de frango","segredos de receita","água","fettucine","de Campbell"]
5816;Red Punch Slush;["água","açúcar","Doces de canela","lim�es","laranjas","suco de cranberry","suco de abacaxi","Club Soda"]
5817;Buns;["óleo de oliva","sal","água morna","açúcar branco","levedura de bolo","farinha"]
5818;Donald'S Corned Beef And Cabbage Sandwiches;["Armadura","repolho","pão","maionese"]
5819;Baked Bean Casserole;["carne de porco","feijão vermelho","cebola","mostarda","vinagre","açúcar mascavo","Catsup","bovino � terra"]
5820;Microwave Lasagne;["carne moída","molho de tomate","salsa","or�gano","Queijo cottage","queijo parmesão","ovo","parsley flocos","manjeric�o","macarrão","Mozzarella queijo","queijo parmesão"]
5821;Broccoli Casserole;["brócolis","creme de sopa de galinha","sopa de cogumelo","cebola","Velveeta queijo"]
5822;Taco Dip;["feij�es","creme azedo","taco","alface triturada","tomates","salsa","cheddar queijo","nacho chips"]
5823;Vegetable Burritos(Low-Fat);["cogumelos","cebola","Pimenta verde","alho","azeite","feijão","azeitonas","pimenta","tortillas de farinha","nonfat leite","Queijo Cheddar"]
5824;Brown Sugar Baked Oats;["óleo","açúcar mascavo","ovos","cozinhar aveia","fermento em pó","sal","leite","extrato de baunilha","canela","nozes"]
5825;Broccoli Salad;["cachos brócolis","bacon","milagre","vinagre","queijo cheddar","cebola","vinagre","dill"]
5826;Hominy Casserole;["bovino tamales","Hominy","Chili","cebola","pimentão","cheddar queijo"]
5827;Double Lemon Pie;["coconut","manteiga"]
5828;Strawberry Bread(Makes 2 Loaves);["Farinha","Bicarbonato de sódio","Sal","canela","açúcar","Morangos congelados","ovos","óleo vegetal  pecans"]
5829;Soft Sugar Cookies;["encurtamento","açúcar","ovos","baunilha","farinha","refrigerante","fermento","leite  porcas"]
5830;Cauliflower Salad;["Couve-flor","cabe�a alface","bacon","Garbanzo feijão","cebola","mayonnaise","açúcar","queijo parmesão"]
5831;Pineapple Cake;["ovos","açúcar","baunilha","abacaxi","farinha","refrigerante","sal"]
5832;Red Beans And Rice For 120;["feijão vermelho","cebolas","alho","salsicha","arroz"]
5833;Bread Pudding;["pão","leite","açúcar","ovos","passas","noz-moscada"]
5834;Baked Brie;["Crescent rolls","Queijo","damasco"]
5835;Soft Cinnamon Rolls;["água quente","levedura","açúcar","Pudim de baunilha instant�nea","margarina","ovos","sal","farinha"]
5836;Canned Spaghetti Sauce;["Tomates","cebolas","pimentas verdes","pimenta vermelha","talos de aipo","sal de alho","Ba�a folhas","azeite","açúcar","oregano","pasta de tomate"]
5837;Yum Yum Cake;["Mistura de bolo amarelo","Leite","Abacaxi","Pudim de baunilha instant�nea","Cream Cheese"]
5838;Oven-Shy Cookies(Kids Corner);["Marshmallows","manteiga","amendoins","Chips de chocolate semi-doce","cereal de arroz crocante"]
5839;Sweet And Sour Cashew Chicken;["manteiga","óleo","pimentão verde","pimentão vermelho","frango","abacaxi sorvete cobertura","açúcar","Gengibre � terra","Vinagre","molho de soja","Cornstarca","arroz  caju"]
5840;Mom'S Japanese Cake;["Farinha","açúcar","manteiga","leite doce","fermento em pó","ovos","coco","canela","cravo"]
5841;Eve'S Pudding(Copyright 1908 - 1933);["ovos","açúcar","noz-moscada","maçãs","migalhas de pão","sal"]
5842;Cold Spaghetti Salad;["Espaguete","Vestir italiano","Pepinos","pimentão","cebolas","tomates"]
5843;Chicken-N-Dressing Casserole;["frango","curativo","caldo de frango","cebola","creme de sopa de aipo","creme de sopa de galinha","sage"]
5844;Broccoli Casserole;["brócolis congelado","cebola","creme de sopa de cogumelos","mayonnaise","queijo ralado","cracker migalhas"]
5845;Cranbrosia Salad;["cranberries frescas","açúcar","Abacaxi","Suco de abacaxi","Mandarin laranjas","abacaxi","banana","creme azedo","coconut"]
5846;Beaten Biscuits;["todos finais","sal","crisco","leite muito frio"]
5847;Spinach Dip;["maionese","nonfat iogurte","castanhas de água","cebola","queijo parmesão","pimenta moída","pão do pa�s"]
5848;Reese'S Cup Cookies;["Roll Chocolate Chip","Miniature Reese's"]
5849;Homemade Bread;["Leite","açúcar","Crisco","sal","ovos","farinha","levedura"]
5850;Beet Jelly;["gel�ia de beterraba","açúcar","framboesa","suco de limão"]
5851;Fantasy Fudge;["açúcar","Margarina","Cravo","peda�os de chocolate semi-doces","nata marshmallow","nozes","baunilha"]
5852;Strawberry Pie;["torta crosta","Queijo creme","quantidade de leite","morangos frescos","morangos esmagados","cornstarch","açúcar","chantilly"]
5853;Almost-A-Meal Casserole;["carne moída","cebola","tomates","molho de worcestershire","sal","batatas","farinha","milho","feij�es","pimentão","CHEDDAR QUEIE"]
5854;Lemon Daffodil Dessert;["lim�es","açúcar","leite condensado","chicotando creme","bolo"]
5855;No Sugar Cake;["água","passas","ma��","ovos","óleo de milho","bicarbonato de sódio","farinha","canela","baunilha","sal","açúcar"]
5856;Mark'S Minestrone;["gr�o-de-bico","feij�es rins","tomates","azeite","alho","cebola","cenouras","zucchini","estoque vegetal","feij�es verdes","Pimenta Verde","Sal","Pimenta preta","oregano","Tarrag�o","Rosemary","Basil","pur� de tomate","vinho vermelho"]
5857;Ham Meat Loaf;["ch�o presunto cozido","migalhas de pão","ovo","molho de pimentão","Cenouras � terra","leite","pimenta verde"]
5858;German Potato Salad(Kantoffie Salad);["batatas","cebola","água","farinha","açúcar","vinagre","sal","bacon"]
5859;Sunshine Carrots;["suco de laranja","maple","marmelada laranja","cenouras"]
5860;Banana Poppy-Seed Muffins;["bananas","ovo","açúcar","óleo vegetal","Leite","farinha","semente de papoula","sal","bicarbonato de sódio","fermento"]
5861;Dirt Cups;["Leite frio","Pudim de chocolate instant�neo","Biscoitos de sandu�che de chocolate","worms gummy"]
5862;Baked Rice Pudding;["Leite","ovos","açúcar","sal","arroz","passas","baunilha","noz-moscada"]
5863;Waldorf Chicken Salad;["peito de frango","nozes","craisins","molho de salada","mel","noz-moscada","Gengibre � terra"]
5864;Delicious All-Day Chuck Stew;["Chuck assado","óleo","pimenta verde","cebolas","tomates","pasta de tomate","molho de worcestershire","louro folhas","Basil","Pepper"]
